#x_outof_circle[deg],y_outof_circle[deg]
-6.737519e-01,-1.321621e+00
1.071255e+00,1.545284e+00
1.034748e+00,1.427530e+00
1.297666e+00,1.217495e+00
-1.601370e+00,9.250792e-01
-5.579686e-01,-1.468191e+00
-1.967091e+00,-2.085778e-01
-1.681216e+00,9.528087e-01
-1.712305e+00,8.853085e-01
-8.008599e-01,-1.285691e+00
-4.599292e-01,-1.497785e+00
-7.658340e-01,-1.561015e+00
-7.508815e-01,-1.624958e+00
1.132533e+00,1.287815e+00
1.239831e+00,1.414023e+00
-1.982195e+00,-2.374221e-01
-1.907196e+00,-3.973443e-01
-6.847533e-01,-1.299208e+00
8.796007e-01,-9.717756e-01
-9.096307e-01,-1.361056e+00
-5.479497e-01,-1.362023e+00
-1.602254e+00,7.051638e-01
-1.540331e+00,6.828051e-01
-1.966343e+00,-3.069111e-01
-1.728590e+00,-3.929824e-01
-1.742820e+00,9.312538e-01
9.049075e-01,-9.853780e-01
1.049633e+00,-9.692386e-01
-6.910511e-01,-1.435706e+00
-8.552677e-01,-1.356985e+00
-7.500655e-01,-1.625765e+00
-3.832808e-01,-1.704466e+00
-4.281732e-01,-1.836408e+00
-7.308335e-03,-1.329713e+00
5.090262e-02,-1.265057e+00
-9.371013e-01,-1.346758e+00
-3.694411e-01,-1.928559e+00
1.100882e+00,1.254111e+00
1.109148e+00,-1.503703e+00
1.103796e+00,-8.060123e-01
9.905166e-01,-8.575142e-01
9.987315e-01,-9.280155e-01
-1.912200e+00,2.568408e-02
-1.800927e+00,-3.296486e-01
-1.768203e+00,9.154274e-01
1.274019e+00,1.381274e+00
-3.732148e-01,-1.869233e+00
1.323389e-01,-1.288088e+00
1.037447e+00,1.494945e+00
1.234391e+00,1.374302e+00
-1.639681e+00,-7.754288e-01
-1.358154e+00,-7.271171e-01
-1.434534e+00,-7.210535e-01
9.714897e-01,-1.113465e+00
-6.227161e-01,-1.707998e+00
-6.271814e-01,-1.693559e+00
-4.280589e-01,-1.732520e+00
-5.389702e-01,-1.921187e+00
1.119001e+00,1.136775e+00
1.314111e+00,1.199996e+00
1.018643e+00,1.151837e+00
1.142830e+00,8.876574e-01
-6.165729e-01,-1.648447e+00
-4.818268e-01,-1.710276e+00
-5.493260e-01,-1.845060e+00
-8.955055e-03,-1.327169e+00
5.031963e-01,1.286243e+00
3.810662e-01,-1.058849e+00
4.093335e-01,-1.088753e+00
-9.117883e-01,-1.358817e+00
-7.443277e-01,-1.632574e+00
-3.815340e-01,-1.760698e+00
1.198361e-01,-1.326051e+00
2.596705e-01,-1.081969e+00
3.326795e-01,-1.197961e+00
4.282580e-01,-1.264251e+00
1.062682e+00,-8.269999e-01
-6.085288e-01,-1.616556e+00
-6.008725e-01,-1.692845e+00
-6.060612e-01,-1.721092e+00
-4.185041e-01,-1.734486e+00
-4.405338e-01,-1.774853e+00
-2.893282e-01,-1.912750e+00
1.043869e+00,-1.006111e+00
1.216045e+00,-1.130179e+00
1.229203e+00,-1.087517e+00
2.627539e-01,-1.188650e+00
4.686938e-01,-1.174231e+00
5.642529e-01,-1.390556e+00
-1.518363e+00,-1.195520e+00
-1.870347e+00,-1.677850e-01
1.166906e+00,1.420734e+00
1.022679e+00,1.297956e+00
1.395681e+00,9.917789e-01
1.397169e+00,1.124444e+00
1.193388e+00,1.102153e+00
3.089537e-01,-1.253323e+00
1.086842e-01,-1.374138e+00
1.392494e-01,-1.127873e+00
4.098913e-01,-1.220294e+00
-1.873053e+00,-5.011115e-01
-1.711821e+00,1.002533e+00
-1.866947e+00,-4.987520e-01
-1.454871e+00,-6.511381e-01
-1.438505e+00,-8.312801e-01
1.220248e+00,1.389675e+00
1.301864e+00,1.299560e+00
1.257457e+00,1.177529e+00
1.137809e+00,1.091628e+00
1.207909e+00,8.472461e-01
-1.707590e+00,-5.209021e-01
3.686600e-01,-1.433737e+00
4.833118e-01,-1.404284e+00
-9.559693e-01,-1.278667e+00
-7.031847e-01,-1.548038e+00
-7.867627e-01,-1.596456e+00
-5.230006e-01,-1.826193e+00
3.363483e-01,-1.014840e+00
4.799608e-01,-1.040041e+00
3.601016e-01,-9.860038e-01
2.090455e-01,-1.158249e+00
-1.707607e+00,9.798504e-01
5.418065e-01,-1.233914e+00
