#x_cut[deg],y_cut[deg]
9.271769e-01,1.373513e-01
9.178626e-01,6.015726e-02
8.979232e-01,5.157008e-02
1.066916e+00,-4.339049e-01
7.537030e-02,-1.892921e-02
-4.793863e-03,-3.263803e-02
8.764666e-01,6.783854e-02
1.192994e+00,-2.710271e-01
1.108141e+00,-1.939268e-01
1.322966e+00,-2.859236e-01
7.077424e-01,4.067447e-01
1.182581e+00,-1.243301e-03
9.684605e-01,-7.337078e-02
9.059242e-01,-2.104626e-01
1.160631e+00,-1.850247e-01
1.280232e+00,-2.545912e-01
1.037119e+00,-3.414693e-01
1.962703e-01,-2.232051e-02
3.799901e-02,-9.106008e-02
-5.712771e-02,-1.510242e-02
7.277505e-01,2.548558e-01
9.186434e-01,2.705005e-01
7.359849e-01,1.012039e-01
9.972703e-01,-1.994892e-01
9.302377e-01,-2.228941e-01
8.926477e-01,4.282696e-01
8.063370e-01,3.701688e-01
1.006243e+00,2.236029e-01
7.969128e-01,1.846382e-01
1.271479e+00,-2.602430e-01
1.087560e+00,-1.573073e-01
2.924997e-01,-6.423784e-02
2.708260e-01,-5.699635e-02
1.752854e-01,3.617864e-02
-6.229084e-02,-2.681355e-02
-4.724756e-02,-9.611383e-02
1.180841e-01,-7.889970e-02
-3.055938e-02,-1.172044e-01
1.533854e-01,2.213564e-02
6.526982e-01,3.963139e-01
7.665752e-01,3.917928e-01
8.094305e-01,1.743297e-01
1.034477e+00,1.448065e-01
1.274301e+00,-3.048870e-01
1.134270e-01,-3.895325e-02
1.355921e-01,-5.429520e-02
2.438224e-02,-1.287919e-01
3.261605e-01,-7.740601e-02
1.959183e-01,-1.108215e-01
8.268468e-01,1.501267e-01
1.132860e+00,8.137699e-02
8.801000e-01,-1.403173e-01
2.244215e-02,-1.541344e-02
1.161759e-01,-3.062394e-02
7.589847e-01,3.200806e-01
7.839265e-01,4.648138e-02
9.268457e-01,-4.140815e-02
1.124908e+00,-1.559991e-02
1.062951e+00,-3.222213e-02
1.012794e+00,-1.840262e-01
1.186510e+00,-3.045104e-01
1.065147e+00,-3.647190e-01
-1.189332e+00,5.795300e-01
-1.115268e+00,5.233464e-01
-7.555374e-01,7.940378e-02
2.259709e-01,3.006733e-02
7.720338e-03,-3.363411e-02
4.673417e-03,-4.671075e-02
-5.264820e-02,-8.116365e-02
1.229420e-01,-1.161898e-01
1.172318e+00,-3.512100e-02
1.133126e+00,-2.953180e-01
1.272962e+00,-4.182161e-01
